Label;Name;Age;Lat.;Long.;LINK;ID;No.
C;CAMP;201;27.00;279;NAM;101;1
K;Karroo;183;-23.00;32;AFR;701;2
A;Argo margin;155;-17.00;120;AUS;801;3
SR;Shatsky Rise;147;34.00;160;PAC;901;4
MG;Magellan Rise;145;9.00;181;PAC;901;5
G;Gascoyne;136;-23.00;114;AUS;801;6
PE;Parana–Etendeka;132;-20.00;11;AFR;701;7
BB;Banbury Basalts;132;-34.00;115;AUS;801;8
MP;Manihiki Plateau;123;-11.00;197;PAC;901;9
O1;Ontong Java 1;121;-4.00;158;PAC;901;10
R;Rajmahal Traps;118;25.00;88;IND;501;11
SK;Southern Kerguelen (110–119 Ma);114;-59.00;79;EANT;8021;12
N;Nauru;111;3.00;168;PAC;901;13
CK;Central Kerguelen;100;-52.00;74;EANT;8021;14
HR;Hess Rise;99;34.00;177;PAC;901;15
W;Wallaby Plateau;96;-22.00;104;AUS;801;16
BR;Broken Ridge;95;-30.00;96;AUS;801;17
O2;Ontong Java 2;90;-4.00;169;PAC;901;18
M;Madagascar;84;-26.00;46;AFR;701;19
SL;S. Leone Rise;73;6.00;338;AFR;701;20
MR;Maud Rise;73;-65.00;3;EANT;8021;21
D;Deccan Traps;65;21.00;73;IND;501;22
NA;North Atlantic;54;69.00;333;GRE;102;23
ET;Ethiopia;31;13.00;43;AFR;701;24
CR;Columbia River;15;46.00;241;NAM;101;25
