age,N,V95,plon,plat,mean_K,mean_csd,mean_E,elong,mean_age
10.0,2609.824,1.218941753615926,354.98736648975046,-86.45796574678911,17.753912096803518,19.228897481305527,1.0704321823706202,5.850861424888764,10.0
20.0,1157.367,1.1741608670270944,7.448240089791075,-83.33164871784491,16.72073922859477,19.816374551389597,1.0974185514322508,2.027063534335597,20.0
30.0,1090.951,0.9974031653337567,23.772619575835513,-80.58989778425078,17.939859041692948,19.13088752839789,1.0818385470539489,1.102564265653235,30.0
40.0,473.933,1.2663313990126515,26.989676272289422,-79.02485458083339,19.691320087379776,18.270570359166353,1.1324312268391021,1.1822592068080329,40.0
50.0,1100.617,0.9131230001489451,29.719261560032297,-76.64831856014096,16.248929677961055,20.10183543746716,1.1083664696853561,1.1585068404753274,50.0
60.0,1708.319,0.8186173691052109,35.10878042710462,-73.7350189906245,16.36592414773111,20.027023937328376,1.0750871762257312,1.1085668517223781,60.0
70.0,897.038,0.9056781299406996,42.726389240284234,-73.06401878175163,17.504611676244963,19.369416959236904,1.1136718623248762,1.098888710917566,70.0
80.0,349.961,1.1362825429118482,49.61914839537234,-72.72230445723214,29.993528541917815,14.807096438653875,1.1595518988778142,1.1649644794053329,80.0
90.0,413.013,1.5083653149198457,65.13755578634286,-68.11794774590264,25.22888643372141,16.144453528856896,1.1552657848003256,1.4050623973925953,90.0
100.0,217.463,1.7391668732271206,74.44480214929617,-62.61761187811739,22.535127902947146,17.10225889552495,1.2125715719230838,1.469244806119412,100.0
110.0,259.302,1.2511106273292534,78.82751831100396,-59.451959077867244,29.576004866705617,14.924495520126902,1.2612460065656774,1.055725437726,110.0
120.0,458.25,1.0762049942805743,79.9460182174035,-55.149427535227744,29.200056197881725,15.004311157962576,1.1784216998398804,1.1865218451192505,120.0
130.0,798.291,0.7832074869446863,82.45209265955863,-51.112176748643954,33.57771977388802,13.985637083533655,1.0995894182853354,1.160414606782416,130.0
140.0,621.63,1.162897932318189,84.02261723647226,-51.087439648937774,34.694335466238385,13.760506842403686,1.1178387198565516,1.0827983275416297,140.0
150.0,144.372,2.4170034539139342,83.7742954824983,-52.96718926868571,17.511714185826985,19.410458375614198,1.2530076867333844,1.0895147002919194,150.0
160.0,148.841,2.913545000801575,82.83689744388646,-56.17897759432035,14.734310779233095,21.16277871131507,1.2370338465824517,1.1086305474861327,160.0
170.0,112.12,3.1758935850014014,79.66069116341093,-58.42083206769533,14.713738449454294,21.189636271832356,1.2963747240424202,1.12399711790774,170.0
180.0,319.305,1.6589102482915223,79.55733182922282,-63.16555285358904,18.937157962620283,18.638503527196736,1.2921177057113593,1.0352886822229732,180.0
190.0,469.734,1.413362850011439,75.0384979117868,-65.82924371577283,18.843396205263417,18.678398158368477,1.1782430858749158,1.1355217130141821,190.0
200.0,1398.782,1.4628647212503907,66.44834919949523,-65.57069787773204,12.364232310297954,23.044704340103163,1.0925505211888327,3.468154154042729,200.0
210.0,2287.346,1.3379975231025116,57.91013261851739,-62.77712617549009,14.83749622097808,21.03360331667302,1.0693758973178633,4.780720122478492,210.0
220.0,1583.108,1.0359773380100676,53.54144112842849,-58.48032968766914,22.2363265205866,17.181836345981935,1.0707438480430886,2.253260042646633,220.0
230.0,544.766,1.4336138299099292,54.94999782204375,-53.700900079777306,23.027000974020446,16.89395486391864,1.124348724182911,1.5636424994076241,230.0
240.0,215.241,2.562071379631292,57.71298513656316,-48.28066764935283,14.410542988358422,21.391858474434553,1.210403706969225,1.5368313346704565,240.0
250.0,1016.977,1.963596502947595,60.81324658436339,-44.11530617058805,13.497707962898632,22.06296597878176,1.1108282287362157,4.504920828462949,250.0
260.0,1199.81,1.424637849742039,61.441423396877894,-41.81170244461715,15.588141006322346,20.52847786408405,1.1029126294286717,4.380460528761101,260.0
270.0,636.435,1.5653632776462088,58.283382511258594,-40.50845177898418,26.566277518376015,15.729880698983488,1.1580237882789957,4.548078571129427,270.0
280.0,820.352,1.3497888987528726,56.41427359715402,-37.33621463782656,28.39235014735938,15.212786944492493,1.1249444987420398,2.513028479755057,280.0
290.0,764.445,2.010425912014805,56.16415362799982,-33.96598896609238,28.447807989964765,15.200970638448455,1.2184062610372839,8.905232468569126,290.0
300.0,405.679,2.412277013714776,51.020625722928386,-30.171055097007393,24.96557844908459,16.241714608395775,1.2926809062725093,4.829294060518774,300.0
310.0,368.475,2.4963262873802474,45.867190626201996,-26.94199584318028,18.525313460674386,18.84969859907706,1.430430414876363,2.708370608799975,310.0
320.0,427.495,2.637845834257375,39.80005953649406,-28.309279828525383,13.539548943662783,22.03667552121181,1.3359108287169137,2.5780830804205226,320.0
